ID,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Cost_to_Weight_ratio,Cost*Weight,Discount_Ratio,CareCalls_to_Purchases,CostWeight_Discount_Interaction,Reached.on.Time_Y.N
7921,4,1,261,2,2,0,9,4158,0,0,1,0,1,0,0.06277056277056277,1085238,0.034482758620689655,1.3333333333333333,0.6277056277056277,0
1530,3,3,162,2,1,0,26,1659,0,0,0,1,0,1,0.09764918625678119,268758,0.16049382716049382,1.0,2.636528028933092,1
10522,3,2,221,2,2,1,9,4466,1,0,0,0,0,1,0.04948499776085983,986986,0.04072398190045249,1.0,0.4948499776085983,0
9559,3,5,157,4,2,0,2,4640,0,0,1,0,0,1,0.03383620689655172,728480,0.012738853503184714,0.6,0.10150862068965516,0
969,2,5,272,2,1,1,24,3638,0,0,0,0,0,0,0.07476635514018691,989536,0.08823529411764706,0.6666666666666666,1.8691588785046727,1
2734,4,5,254,3,1,1,29,3885,1,0,0,0,1,0,0.06537966537966539,986790,0.1141732283464567,1.0,1.9613899613899615,1
56,2,5,246,5,1,1,46,2437,0,0,0,1,0,1,0.10094378334017234,599502,0.18699186991869918,0.3333333333333333,4.7443578169881,1
1267,4,2,221,2,1,0,13,3097,0,0,1,0,0,1,0.07135938004520503,684437,0.058823529411764705,1.3333333333333333,0.9990313206328705,1
236,2,2,134,3,1,1,38,1352,0,0,0,1,0,1,0.09911242603550297,181168,0.2835820895522388,0.5,3.865384615384616,1
7046,4,4,153,5,2,1,9,5818,0,0,0,1,0,1,0.026297696803025093,890154,0.058823529411764705,0.6666666666666666,0.26297696803025095,0
5519,5,3,227,5,2,1,2,1965,0,1,0,0,0,1,0.11552162849872774,446055,0.00881057268722467,0.8333333333333334,0.34656488549618325,0
9088,3,3,250,3,1,1,9,4993,1,0,0,0,0,1,0.05007009813739235,1248250,0.036,0.75,0.5007009813739235,0
2677,5,3,209,4,2,0,7,2675,0,0,1,0,0,1,0.07813084112149532,559075,0.03349282296650718,1.0,0.6250467289719626,1
7436,6,5,240,3,1,1,4,5219,0,0,0,1,0,1,0.045985821038513126,1252560,0.016666666666666666,1.5,0.22992910519256562,1
10668,4,3,263,6,2,1,8,1123,0,0,0,1,1,0,0.2341941228851291,295349,0.030418250950570342,0.5714285714285714,2.107747105966162,1
3045,4,4,243,3,1,1,10,3327,0,0,0,0,0,1,0.07303877366997295,808461,0.0411522633744856,1.0,0.8034265103697025,1
9320,4,1,189,3,2,1,5,4133,0,0,0,1,0,0,0.04572949431405759,781137,0.026455026455026454,1.0,0.2743769658843455,0
10773,4,4,229,5,2,0,7,1716,0,0,0,0,0,1,0.13344988344988346,392964,0.03056768558951965,0.6666666666666666,1.0675990675990676,1
7,3,4,250,3,1,0,3,2371,0,0,1,0,0,0,0.10544074230282581,592750,0.012,0.75,0.42176296921130324,1
1998,6,2,172,2,1,1,41,1006,0,0,0,1,0,1,0.1709741550695825,173032,0.23837209302325582,2.0,7.180914512922465,1
2339,2,5,255,4,1,0,36,2093,0,1,0,0,0,0,0.12183468705207835,533715,0.1411764705882353,0.4,4.507883420926899,1
2402,5,4,259,3,2,0,43,2685,0,0,0,1,0,1,0.09646182495344506,695415,0.16602316602316602,1.25,4.244320297951583,1
3999,3,3,256,3,2,1,8,4070,0,0,0,0,0,1,0.0628992628992629,1041920,0.03125,0.75,0.566093366093366,0
9531,4,2,144,5,1,0,3,5807,0,0,0,0,0,1,0.024797657998966764,836208,0.020833333333333332,0.6666666666666666,0.09919063199586706,1
5419,5,5,209,2,1,0,3,4348,0,0,1,0,0,1,0.04806807727690893,908732,0.014354066985645933,1.6666666666666667,0.1922723091076357,0
